"id","min","q1","median","mean","q3","max","sd","n","unit","study"
"151400",1,1,1,3.74988290398126,2,3547,53.5068794756328,6405,"hour","ck_tanz"
"151401",1,1,1,3.10156368604828,2,1937,24.2858428775242,6587,"hour","ck_tanz"
"163114",1,1,1,3.04630762953896,2,48,5.03107033078959,4902,"hour","ck_tanz"
"163115",1,1,1,2.96658046548637,2,143,5.28955426338109,5027,"hour","ck_tanz"
"163116",1,1,1,2.57105853911242,2,39,3.75199450496823,5791,"hour","ck_tanz"
"163117",1,1,1,2.32709780865847,2,23,3.23250669615636,1871,"hour","ck_tanz"
"163118",1,1,1,2.80263157894737,1,40,4.50712771986686,1748,"hour","ck_tanz"
"163119",1,1,1,2.24708906698926,1,23,3.19288797886406,6613,"hour","ck_tanz"
"163112",1,1,1,2.36436212677631,2,24,3.3241882713165,6263,"hour","ck_tanz"
"163113",1,1,1,2.61143083945227,2,28,3.58388340252352,5039,"hour","ck_tanz"
"33010",1,1,1,4.41414141414141,4,47,6.5655772085494,198,"hour","ck_tanz"
"33019",1,1,1,2.28801287208367,2,23,2.60448198350664,1243,"hour","ck_tanz"
"33021",1,1,1,2.12397311426438,2,17,2.38822166845797,1339,"hour","ck_tanz"
"33012",1,1,1,2.55442804428044,1,23,3.98471094048399,1084,"hour","ck_tanz"
"33004",1,1,1,2.6809756097561,2,25,3.88540425628481,1025,"hour","ck_tanz"
"33017",1,1,1,3.3640897755611,2,47,5.4746819135318,802,"hour","ck_tanz"
