"id","min","q1","median","mean","q3","max","sd","n","unit","species","study"
"CV1__44780",1,1,1,10.3437967115097,10,553,34.0968795602038,669,"hour","cv","mend"
"CV2__44781",1,1,1,6.53738317757009,6.5,92,12.1541740998584,214,"hour","cv","mend"
"WBV1__44782",1,1,1,5.08372093023256,3,210,12.9370272081236,860,"hour","wb","mend"
"CV3__53230",1,1,1,5.10841253079901,4,725,11.5488301739996,8523,"hour","cv","mend"
"CV4__53229",1,1,1,5.9655644687928,3,212,11.7138413063351,5111,"hour","cv","mend"
"CV5__44780",1,1,1,5.69952619110292,4,746,12.9282963873248,7598,"hour","cv","mend"
"CV6_44782",1,1,1,3.14069012640929,2,639,7.38938897999869,14635,"hour","cv","mend"
"CV7__62095",2,2,2,12.1935828877005,16,788,39.9690185358188,935,"hour","cv","mend"
"CV8__44781",1,2,2,7.45167286245353,16,172,11.841853896836,538,"hour","cv","mend"
"CV9___62094",1,2,2,7.17510548523207,16,216,11.8998695648703,1422,"hour","cv","mend"
