"id","min","q1","median","mean","q3","max","sd","n","unit","species","study"
"X027",13,15,15,51.1702729845704,15,55973,625.6413227859,10953,"min","cv","morgan"
"X042",13,15,15,74.6225924930574,18,15580,335.937430845843,11163,"min","cv","morgan"
"X033_Complete",1.98333333333333,2,2.99166666666667,4.65453686200378,3,706.7,20.1636486849674,2116,"hour","cv","morgan"
"X016_Complete",0.0333333333333333,2,2.01666666666667,7.01854493580599,3,4021.96666666667,107.514367449861,1402,"hour","cv","morgan"
"X032_Final",2,2,2,3.70020833333333,2.01666666666667,16,3.75589803686717,240,"hour","cv","morgan"
"X023",1,14,15,105.592953833422,28,22263,336.969124709277,16917,"min","cv","morgan"
"X021_Final",2,2,2,4.00719424460432,3,15,3.68604183230899,139,"hour","cv","morgan"
"X022_Complete",2,2,2,4.13948126801153,3,243,6.78021434291254,1735,"hour","cv","morgan"
"X020_Final",2,2.01666666666667,2.01666666666667,7.40852490421456,5.97083333333333,174.666666666667,17.7235299965304,174,"hour","cv","morgan"
"X050",14,14.25,16,80.1666666666667,30.75,1372,225.826818674223,42,"min","cv","morgan"
"X051",14,14,14,14.7567567567568,14,31,2.85195260017302,37,"min","cv","morgan"
"X053",13,14,15,133.581819947558,41,124860,1271.94789472813,10297,"min","cv","morgan"
"X052",14,15,15,171.521409214092,68,38305,759.683294002092,3690,"min","cv","morgan"
"X071",13,14,15,135.435092168146,43,99252,1028.4658856952,10253,"min","cv","morgan"
"X056",13,15,15,118.596062992126,43,110713,1577.53533726731,5080,"min","cv","morgan"
"X057",15,15,16,29.5581395348837,18.5,483,71.6011779384288,43,"min","cv","morgan"
"X055",14,16,16,143.15077123615,50,103535,1128.112023762,9206,"min","cv","morgan"
