"id","min","q1","median","mean","q3","max","sd","n","unit","species","study"
"Simons",1,15,15,82.6662143826323,16,15806,437.615319022299,7370,"min","rv","north"
"Opiroi",3,16,16,77.9189366160293,32,25919,604.637037996618,7636,"min","rv","north"
"Max",12,16,16,38.8071748878924,16,5458,186.166668900919,1338,"min","rv","north"
"Spot",3,15,16,170.474659606657,16,17611,551.758637572881,2644,"min","wb","north"
"Nasuulu",1,15,16,37.4053352372298,16,9130,141.349967933081,30814,"min","rv","north"
"Big",1,15,16,37.8097120622568,16,14053,148.667109991195,32125,"min","rv","north"
"Bastard",1,19,59,158.142923758452,163,8342,366.007607690148,4289,"min","wb","north"
"Chicken",1,9,26,75.5972950593431,70,3106,143.743941115204,10869,"min","hv","north"
"Melako",0.0166666666666667,0.433333333333333,1.03333333333333,3.32869853595406,2.71666666666667,114,7.57206016571034,4121,"hour","rv","north"
"TwoToe",0.0166666666666667,0.366666666666667,1.15,3.79179046734757,2.74583333333333,177.5,11.6314729184135,2154,"hour","rv","north"
"Rain",1,13,42,192.221872045383,123,8349,555.46391202927,3173,"min","rv","north"
"Dutch",2,15,49,1192.968,138,106920,9682.45718607927,125,"min","rv","north"
"Tapika",1,16,47,142.541687222496,126,5914,335.034360642999,4054,"min","wb","north"
"Easy",0.0166666666666667,1.31666666666667,3.58333333333333,13.5038155430712,10.2041666666667,289,29.1871501422913,712,"hour","wb","north"
"Franco",0.0166666666666667,0.4,1.28333333333333,2.99783265603835,3.21666666666667,73.95,5.2891356445815,3199,"hour","hv","north"
"Ajali",0.05,1.62916666666667,4.00833333333333,6.35729166666667,8.07083333333333,103.766666666667,9.3211978343698,176,"hour","wb","north"
"ThreeInOne",1,13,41,150.333103922918,136,4072,309.701005971835,2906,"min","wb","north"
"Mpole",1,14,44,285.021472392638,137.75,46278,1924.35714519449,978,"min","rv","north"
"Santa",1,15,50,138.947105788423,146,1590,223.788800113014,2004,"min","wb","north"
